school,vacc,q_high,q_med,q_low,P,lo,hi,curve
Elementary,0.6,7,0,0,0.2,0.183051733878812,0.218098536681496,Elementary_0
Elementary,0.6,7,7,0,0.1705,0.15465332578161,0.187610054717128,Elementary_7
Elementary,0.6,7,7,3,0.195,0.178227260402,0.212942181334313,Elementary_7
Elementary,0.6,7,7,5,0.2325,0.214509838730424,0.25151581918585,Elementary_7
Elementary,0.6,7,7,7,0.251,0.232486731262796,0.27046799330226,Elementary_7
Elementary,0.6,14,0,0,0.126,0.112169330331021,0.141264673634163,Elementary_0
Elementary,0.6,14,7,0,0.0985,0.0861995963793663,0.112339849053846,Elementary_7
Elementary,0.6,14,7,3,0.152,0.136933311603562,0.168401002246395,Elementary_7
Elementary,0.6,14,7,5,0.1655,0.149856808783549,0.182425742891194,Elementary_7
Elementary,0.6,14,7,7,0.1755,0.159454967782931,0.192789241539802,Elementary_7
Elementary,0.6,14,14,0,0.0845,0.0730923725130293,0.097500752212997,Elementary_14
Elementary,0.6,14,14,3,0.128,0.114067704069693,0.143358631425089,Elementary_14
Elementary,0.6,14,14,5,0.147,0.132157487586446,0.163195997439517,Elementary_14
Elementary,0.6,14,14,7,0.1535,0.138367217690015,0.16996134480714,Elementary_14
Elementary,0.6,14,14,10,0.167,0.151295214997409,0.183981585324533,Elementary_14
Elementary,0.6,14,14,14,0.1915,0.174852730279429,0.209330131280088,Elementary_14
Elementary,0.6,21,0,0,0.081,0.069830237429107,0.0937763071201229,Elementary_0
Elementary,0.6,21,7,0,0.075,0.0642534648553241,0.0873760851051119,Elementary_7
Elementary,0.6,21,7,3,0.1225,0.108850058253733,0.137597365534655,Elementary_7
Elementary,0.6,21,7,5,0.1245,0.110746330650038,0.139693424667948,Elementary_7
Elementary,0.6,21,7,7,0.144,0.129294921549577,0.160070066181988,Elementary_7
Elementary,0.6,21,14,0,0.0655,0.0554683588699671,0.0771976163248786,Elementary_14
Elementary,0.6,21,14,3,0.101,0.0885491257928716,0.114980734052338,Elementary_14
Elementary,0.6,21,14,5,0.1145,0.101277592341597,0.129200505328398,Elementary_14
Elementary,0.6,21,14,7,0.13,0.115967245646167,0.145451421378212,Elementary_14
Elementary,0.6,21,14,10,0.125,0.111220588774644,0.140217249425741,Elementary_14
Elementary,0.6,21,14,14,0.145,0.130248861379055,0.161112292117309,Elementary_14
Elementary,0.6,21,21,0,0.058,0.0485779129109954,0.0691168190478581,Elementary_21
Elementary,0.6,21,21,3,0.082,0.0707616244879386,0.0948410858260903,Elementary_21
Elementary,0.6,21,21,5,0.104,0.0913718323582851,0.118146524781321,Elementary_21
Elementary,0.6,21,21,7,0.1115,0.0984433779970263,0.126046222378572,Elementary_21
Elementary,0.6,21,21,10,0.131,0.116917447210033,0.146497385579146,Elementary_21
Elementary,0.6,21,21,14,0.1295,0.115492252029852,0.144928332112128,Elementary_21
Elementary,0.6,21,21,21,0.1715,0.155613249873535,0.188646296390002,Elementary_21
Elementary,0.7,7,0,0,0.0205,0.0151470750791152,0.0276914406997767,Elementary_0
Elementary,0.7,7,7,0,0.019,0.0138737052353445,0.0259705618963489,Elementary_7
Elementary,0.7,7,7,3,0.0225,0.0168577864507217,0.0299730608577682,Elementary_7
Elementary,0.7,7,7,5,0.02,0.0147216437672432,0.0271187891292492,Elementary_7
Elementary,0.7,7,7,7,0.0215,0.0160006940703447,0.0288339874733462,Elementary_7
Elementary,0.7,14,0,0,0.0085,0.00531372264014279,0.0135708039611614,Elementary_0
Elementary,0.7,14,7,0,0.013,0.00888683405424848,0.0189804384886511,Elementary_7
Elementary,0.7,14,7,3,0.019,0.0138737052353445,0.0259705618963489,Elementary_7
Elementary,0.7,14,7,5,0.013,0.00888683405424848,0.0189804384886511,Elementary_7
Elementary,0.7,14,7,7,0.0105,0.00687783461945913,0.015999023511443,Elementary_7
Elementary,0.7,14,14,0,0.0075,0.00455033645617224,0.012338024380333,Elementary_14
Elementary,0.7,14,14,3,0.0095,0.00609019121047806,0.0147905011556251,Elementary_14
