school,vacc,q_high,q_med,q_low,P,lo,hi,curve
Elementary,0.6,7,0,0,0.496,0.474115916940384,0.517899420000421,Elementary_0
Elementary,0.6,7,7,0,0.4005,0.379235314650908,0.422146191751594,Elementary_7
Elementary,0.6,7,7,3,0.334,0.313665091999285,0.354971391044086,Elementary_7
Elementary,0.6,7,7,5,0.3125,0.292561431427804,0.333157487672388,Elementary_7
Elementary,0.6,7,7,7,0.306,0.286191110939582,0.326552730689417,Elementary_7
Elementary,0.6,14,0,0,0.3275,0.307279728749301,0.348381676822876,Elementary_0
Elementary,0.6,14,7,0,0.2635,0.244659454463563,0.283247342161479,Elementary_7
Elementary,0.6,14,7,3,0.236,0.217907190896447,0.255105047196624,Elementary_7
Elementary,0.6,14,7,5,0.213,0.195615021797155,0.231485403705539,Elementary_7
Elementary,0.6,14,7,7,0.2,0.183051733878812,0.218098536681496,Elementary_7
Elementary,0.6,14,14,0,0.2075,0.190296397756369,0.225825116039931,Elementary_14
Elementary,0.6,14,14,3,0.211,0.193680413078495,0.229427680894601,Elementary_14
Elementary,0.6,14,14,5,0.1905,0.173888979625812,0.208297716168905,Elementary_14
Elementary,0.6,14,14,7,0.186,0.16955434614716,0.203649603705962,Elementary_14
Elementary,0.6,14,14,10,0.194,0.177262887796698,0.211910388174816,Elementary_14
Elementary,0.6,14,14,14,0.2005,0.183534417572774,0.218613935869933,Elementary_14
Elementary,0.6,21,0,0,0.2295,0.211599233103228,0.248437927518649,Elementary_0
Elementary,0.6,21,7,0,0.1865,0.170035788871195,0.204166243864326,Elementary_7
Elementary,0.6,21,7,3,0.1955,0.178709512530931,0.213458012087781,Elementary_7
Elementary,0.6,21,7,5,0.168,0.152254415396281,0.185018550690459,Elementary_7
Elementary,0.6,21,7,7,0.1695,0.153693606647983,0.186573608085956,Elementary_7
Elementary,0.6,21,14,0,0.1615,0.146023409257381,0.178274479358167,Elementary_14
Elementary,0.6,21,14,3,0.163,0.147460529529075,0.179831607733671,Elementary_14
Elementary,0.6,21,14,5,0.153,0.137889190524703,0.169441289090053,Elementary_14
Elementary,0.6,21,14,7,0.15,0.135022262035984,0.166319720284375,Elementary_14
Elementary,0.6,21,14,10,0.151,0.13597766813544,0.167360479949718,Elementary_14
Elementary,0.6,21,14,14,0.1555,0.140279905641073,0.17204098838568,Elementary_14
Elementary,0.6,21,21,0,0.1355,0.121196823393493,0.151200755337281,Elementary_21
Elementary,0.6,21,21,3,0.1295,0.115492252029852,0.144928332112128,Elementary_21
Elementary,0.6,21,21,5,0.14,0.125481701429438,0.155898623242931,Elementary_21
Elementary,0.6,21,21,7,0.1315,0.11739265446482,0.147020261206758,Elementary_21
Elementary,0.6,21,21,10,0.146,0.131203050763835,0.162154268497329,Elementary_21
Elementary,0.6,21,21,14,0.1505,0.13549993529367,0.166840129909089,Elementary_21
Elementary,0.6,21,21,21,0.1745,0.158494237828022,0.191753805729912,Elementary_21
Elementary,0.7,7,0,0,0.1675,0.151774789029843,0.184500094174498,Elementary_0
Elementary,0.7,7,7,0,0.1245,0.110746330650038,0.139693424667948,Elementary_7
Elementary,0.7,7,7,3,0.1315,0.11739265446482,0.147020261206758,Elementary_7
Elementary,0.7,7,7,5,0.1495,0.134544648606803,0.165799250831157,Elementary_7
Elementary,0.7,7,7,7,0.161,0.145544478249518,0.17775532748363,Elementary_7
Elementary,0.7,14,0,0,0.087,0.0754262745454895,0.100157264592534,Elementary_0
Elementary,0.7,14,7,0,0.0745,0.0637896674068704,0.0868417996711661,Elementary_7
